#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 2024-12-24 16:50:03.621
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Math 1: Function: C1 - C2


Time (s)	Channel 1 (V)	Channel 2 (V)	Math 1 (V)
-0.006209732142857144	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006207232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006204732142857142	-0.9987719638774293	-0.9819990674128232	-0.01677289646460612
-0.006202232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.006199732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006197232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.006194732142857142	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.006192232142857143	-0.9987719638774324	-0.9819990674128232	-0.01677289646460933
-0.006189732142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006187232142857142	-0.9987719638774308	-0.9784620884528921	-0.02030987542453871
-0.006184732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006182232142857142	-0.9987719638774308	-0.9819990674128232	-0.01677289646460772
-0.006179732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006177232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006174732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.006172232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006169732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006167232142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006164732142857142	-0.9987719638774276	-0.9784620884528905	-0.02030987542453712
-0.006162232142857143	-0.9917220129462843	-0.9784620884528905	-0.01325992449339375
-0.006159732142857142	-0.9987719638774308	-0.9749251094929581	-0.0238468543844727
-0.006157232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006154732142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006152232142857143	-1.002296939343002	-0.9819990674128232	-0.02029787193017919
-0.006149732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006147232142857144	-1.002296939343002	-0.9819990674128247	-0.02029787193017758
-0.006144732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.006142232142857142	-0.9987719638774308	-0.9819990674128232	-0.01677289646460772
-0.006139732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006137232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006134732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006132232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006129732142857143	-1.002296939343002	-0.9819990674128232	-0.02029787193017919
-0.006127232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006124732142857144	-1.002296939343002	-0.9819990674128247	-0.02029787193017758
-0.006122232142857143	-0.9987719638774308	-0.9749251094929565	-0.02384685438447431
-0.006119732142857142	-0.9987719638774308	-0.978462088452889	-0.02030987542454193
-0.006117232142857143	-0.9987719638774308	-0.9749251094929565	-0.02384685438447431
-0.006114732142857142	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.006112232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.006109732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006107232142857143	-0.9952469884118591	-0.9819990674128247	-0.01324792099903443
-0.006104732142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.006102232142857142	-0.9987719638774308	-0.9749251094929581	-0.0238468543844727
-0.006099732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006097232142857142	-0.9952469884118575	-0.9855360463727574	-0.009710942039100222
-0.006094732142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006092232142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006089732142857143	-1.002296939343004	-0.9855360463727589	-0.01676089297024497
-0.006087232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006084732142857143	-1.002296939343002	-0.9819990674128247	-0.02029787193017758
-0.006082232142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006079732142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006077232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006074732142857142	-0.9987719638774324	-0.9784620884528905	-0.02030987542454193
-0.006072232142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.006069732142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006067232142857143	-0.9987719638774293	-0.9819990674128247	-0.01677289646460451
-0.006064732142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.006062232142857144	-0.9987719638774324	-0.9819990674128232	-0.01677289646460933
-0.006059732142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006057232142857142	-0.9952469884118575	-0.9819990674128232	-0.01324792099903443
-0.006054732142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.006052232142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006049732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006047232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.006044732142857143	-1.002296939343002	-0.9784620884528905	-0.02383485089011179
-0.006042232142857143	-1.002296939343004	-0.9749251094929565	-0.02737182985004738
-0.006039732142857144	-1.002296939343004	-0.978462088452889	-0.023834850890115
-0.006037232142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006034732142857142	-0.9987719638774324	-0.978462088452889	-0.02030987542454354
-0.006032232142857143	-1.002296939343004	-0.9749251094929565	-0.02737182985004738
-0.006029732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006027232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.006024732142857142	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.006022232142857143	-0.9987719638774293	-0.9819990674128232	-0.01677289646460612
-0.006019732142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006017232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006014732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006012232142857142	-0.9952469884118591	-0.9784620884528921	-0.01678489995896703
-0.006009732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006007232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.006004732142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.006002232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005999732142857143	-0.9952469884118591	-0.9784620884528921	-0.01678489995896703
-0.005997232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005994732142857142	-0.9952469884118591	-0.9819990674128247	-0.01324792099903443
-0.005992232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005989732142857142	-0.9917220129462875	-0.9819990674128247	-0.009722945533462743
-0.005987232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005984732142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005982232142857143	-0.9917220129462843	-0.9819990674128247	-0.009722945533459537
-0.005979732142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005977232142857144	-0.9987719638774293	-0.9819990674128232	-0.01677289646460612
-0.005974732142857143	-0.9952469884118575	-0.9749251094929565	-0.02032187891890103
-0.005972232142857142	-0.9952469884118591	-0.9819990674128232	-0.01324792099903604
-0.005969732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005967232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005964732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005962232142857142	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.005959732142857143	-0.9987719638774308	-0.9784620884528937	-0.02030987542453711
-0.005957232142857143	-1.002296939343004	-0.9749251094929565	-0.02737182985004738
-0.005954732142857144	-0.9987719638774324	-0.9819990674128215	-0.01677289646461093
-0.005952232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005949732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005947232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005944732142857142	-0.9952469884118575	-0.9855360463727589	-0.009710942039098613
-0.005942232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005939732142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005937232142857143	-0.9987719638774293	-0.9784620884528921	-0.02030987542453711
-0.005934732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005932232142857142	-0.9987719638774308	-0.9819990674128263	-0.0167728964646045
-0.005929732142857143	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.005927232142857142	-0.9917220129462858	-0.9819990674128232	-0.009722945533462748
-0.005924732142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005922232142857142	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005919732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005917232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005914732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005912232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005909732142857142	-0.9952469884118591	-0.9819990674128232	-0.01324792099903604
-0.005907232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005904732142857142	-0.9987719638774276	-0.9819990674128263	-0.0167728964646013
-0.005902232142857143	-0.9917220129462843	-0.9855360463727589	-0.006185966573525326
-0.005899732142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005897232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005894732142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005892232142857144	-0.9987719638774324	-0.9819990674128232	-0.01677289646460933
-0.005889732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005887232142857142	-1.002296939343002	-0.9784620884528905	-0.02383485089011179
-0.005884732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005882232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005879732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005877232142857142	-1.002296939343004	-0.9855360463727589	-0.01676089297024497
-0.005874732142857143	-0.991722012946289	-0.9784620884528937	-0.01325992449339534
-0.005872232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005869732142857144	-0.9987719638774308	-0.9819990674128232	-0.01677289646460772
-0.005867232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005864732142857142	-0.9952469884118591	-0.9819990674128247	-0.01324792099903443
-0.005862232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005859732142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005857232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005854732142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005852232142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005849732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005847232142857144	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005844732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005842232142857142	-0.9987719638774324	-0.9749251094929597	-0.0238468543844727
-0.005839732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005837232142857142	-1.005821914808577	-0.9819990674128247	-0.02382284739575247
-0.005834732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005832232142857142	-1.002296939343004	-0.9855360463727589	-0.01676089297024497
-0.005829732142857143	-0.9952469884118608	-0.9855360463727589	-0.009710942039101819
-0.005827232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005824732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005822232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005819732142857142	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005817232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005814732142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005812232142857143	-1.002296939343004	-0.9855360463727589	-0.01676089297024497
-0.005809732142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005807232142857143	-0.9952469884118575	-0.9784620884528921	-0.01678489995896543
-0.005804732142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005802232142857142	-0.9952469884118591	-0.9784620884528921	-0.01678489995896703
-0.005799732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005797232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005794732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005792232142857142	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.005789732142857143	-0.9987719638774308	-0.9819990674128263	-0.0167728964646045
-0.005787232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005784732142857144	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005782232142857143	-0.9917220129462843	-0.9819990674128247	-0.009722945533459537
-0.005779732142857142	-0.9952469884118591	-0.9784620884528905	-0.01678489995896864
-0.005777232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005774732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005772232142857143	-1.002296939343004	-0.9855360463727589	-0.01676089297024497
-0.005769732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005767232142857143	-0.9952469884118591	-0.9784620884528921	-0.01678489995896703
-0.005764732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005762232142857144	-0.9952469884118591	-0.9819990674128247	-0.01324792099903443
-0.005759732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005757232142857142	-0.9987719638774324	-0.9819990674128247	-0.01677289646460772
-0.005754732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005752232142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005749732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005747232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005744732142857143	-1.002296939343002	-0.9784620884528905	-0.02383485089011179
-0.005742232142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005739732142857142	-0.9987719638774308	-0.9819990674128215	-0.01677289646460933
-0.005737232142857143	-0.9987719638774308	-0.9749251094929565	-0.02384685438447431
-0.005734732142857142	-0.9987719638774293	-0.9784620884528905	-0.02030987542453872
-0.005732232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005729732142857142	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005727232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005724732142857143	-0.9917220129462843	-0.9784620884528905	-0.01325992449339375
-0.005722232142857143	-0.9987719638774276	-0.9819990674128232	-0.01677289646460452
-0.005719732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005717232142857142	-1.002296939343002	-0.9784620884528921	-0.02383485089011018
-0.005714732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005712232142857142	-0.9987719638774308	-0.9784620884528937	-0.02030987542453711
-0.005709732142857143	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.005707232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005704732142857143	-1.002296939343002	-0.9749251094929597	-0.02737182985004256
-0.005702232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005699732142857144	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005697232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005694732142857142	-0.9987719638774324	-0.9819990674128247	-0.01677289646460772
-0.005692232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005689732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005687232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005684732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005682232142857143	-1.002296939343002	-0.9784620884528921	-0.02383485089011018
-0.005679732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005677232142857144	-1.002296939343002	-0.9855360463727574	-0.01676089297024497
-0.005674732142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005672232142857142	-0.9987719638774308	-0.978462088452889	-0.02030987542454193
-0.005669732142857143	-0.9987719638774308	-0.9749251094929565	-0.02384685438447431
-0.005667232142857142	-1.002296939343004	-0.9749251094929565	-0.02737182985004738
-0.005664732142857143	-0.9987719638774308	-0.9749251094929565	-0.02384685438447431
-0.005662232142857142	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005659732142857143	-0.9952469884118575	-0.9819990674128232	-0.01324792099903443
-0.005657232142857143	-1.002296939343004	-0.9855360463727589	-0.01676089297024497
-0.005654732142857142	-0.9952469884118591	-0.9784620884528921	-0.01678489995896703
-0.005652232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005649732142857142	-1.002296939343001	-0.9784620884528905	-0.02383485089011018
-0.005647232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005644732142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005642232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005639732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005637232142857143	-0.9987719638774308	-0.9784620884528921	-0.02030987542453871
-0.005634732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005632232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005629732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005627232142857142	-0.9987719638774324	-0.978462088452889	-0.02030987542454354
-0.005624732142857143	-1.002296939343004	-0.9749251094929565	-0.02737182985004738
-0.005622232142857142	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005619732142857143	-1.002296939343004	-0.9819990674128232	-0.02029787193018079
-0.005617232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005614732142857144	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005612232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005609732142857142	-0.9987719638774324	-0.9819990674128247	-0.01677289646460772
-0.005607232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005604732142857142	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005602232142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005599732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005597232142857143	-1.002296939343002	-0.9855360463727574	-0.01676089297024497
-0.005594732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005592232142857144	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005589732142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005587232142857142	-0.9987719638774324	-0.9819990674128232	-0.01677289646460933
-0.005584732142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005582232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005579732142857143	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.005577232142857142	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005574732142857143	-1.002296939343001	-0.9819990674128232	-0.02029787193017758
-0.005572232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005569732142857142	-0.9952469884118575	-0.9784620884528921	-0.01678489995896543
-0.005567232142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005564732142857142	-0.9987719638774324	-0.9784620884528921	-0.02030987542454032
-0.005562232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005559732142857142	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.005557232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005554732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005552232142857143	-0.9987719638774308	-0.9784620884528921	-0.02030987542453871
-0.005549732142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005547232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005544732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005542232142857142	-0.9987719638774324	-0.9819990674128247	-0.01677289646460772
-0.005539732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005537232142857142	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005534732142857143	-0.9987719638774324	-0.9819990674128247	-0.01677289646460772
-0.005532232142857143	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005529732142857144	-0.9987719638774293	-0.9819990674128247	-0.01677289646460451
-0.005527232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005524732142857142	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005522232142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005519732142857142	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005517232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005514732142857142	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005512232142857143	-1.002296939343004	-0.9855360463727574	-0.01676089297024658
-0.005509732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005507232142857144	-0.9952469884118591	-0.9819990674128247	-0.01324792099903443
-0.005504732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005502232142857142	-1.002296939343002	-0.9784620884528905	-0.02383485089011179
-0.005499732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005497232142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005494732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005492232142857142	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005489732142857143	-1.002296939343004	-0.9819990674128232	-0.02029787193018079
-0.005487232142857143	-1.005821914808577	-0.9749251094929565	-0.03089680531562067
-0.005484732142857142	-0.9987719638774324	-0.9784620884528921	-0.02030987542454032
-0.005482232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005479732142857142	-0.9952469884118591	-0.9855360463727574	-0.009710942039101824
-0.005477232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005474732142857142	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.005472232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005469732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005467232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005464732142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005462232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005459732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005457232142857142	-0.9987719638774324	-0.9819990674128232	-0.01677289646460933
-0.005454732142857143	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.005452232142857142	-1.002296939343004	-0.9749251094929565	-0.02737182985004738
-0.005449732142857143	-0.9952469884118608	-0.978462088452889	-0.01678489995897185
-0.005447232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005444732142857144	-0.9987719638774293	-0.9784620884528905	-0.02030987542453872
-0.005442232142857143	-0.9987719638774308	-0.9749251094929565	-0.02384685438447431
-0.005439732142857142	-1.002296939343002	-0.9819990674128232	-0.02029787193017919
-0.005437232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005434732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005432232142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005429732142857142	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.005427232142857143	-0.9987719638774293	-0.9819990674128247	-0.01677289646460451
-0.005424732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005422232142857144	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005419732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005417232142857142	-0.9987719638774308	-0.9784620884528921	-0.02030987542453871
-0.005414732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005412232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005409732142857143	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005407232142857142	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.005404732142857143	-1.002296939343002	-0.9819990674128232	-0.02029787193017919
-0.005402232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005399732142857142	-0.9987719638774293	-0.9819990674128232	-0.01677289646460612
-0.005397232142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005394732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005392232142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005389732142857142	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.005387232142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005384732142857142	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005382232142857143	-1.002296939343002	-0.9784620884528921	-0.02383485089011018
-0.005379732142857143	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.005377232142857142	-0.9987719638774293	-0.9819990674128232	-0.01677289646460612
-0.005374732142857143	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.005372232142857142	-0.9952469884118591	-0.9819990674128247	-0.01324792099903443
-0.005369732142857143	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.005367232142857142	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
