#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 2024-12-24 16:50:31.231
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Math 1: Function: C1 - C2


Time (s)	Channel 1 (V)	Channel 2 (V)	Math 1 (V)
-0.04640821678321679	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04639571678321678	-0.9987719638774308	-0.9819990674128232	-0.01677289646460772
-0.04638321678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04637071678321678	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.04635821678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04634571678321679	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04633321678321678	-0.9987719638774308	-0.9819990674128232	-0.01677289646460772
-0.04632071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04630821678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04629571678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04628321678321679	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04627071678321678	-0.9987719638774293	-0.9784620884528905	-0.02030987542453872
-0.04625821678321678	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.04624571678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04623321678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04622071678321679	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04620821678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04619571678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04618321678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04617071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04615821678321679	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04614571678321678	-0.9987719638774324	-0.9784620884528905	-0.02030987542454193
-0.04613321678321678	-1.002296939343004	-0.9784620884528905	-0.02383485089011339
-0.04612071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04610821678321678	-0.9952469884118575	-0.9819990674128247	-0.01324792099903283
-0.04609571678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04608321678321678	-0.9987719638774308	-0.9784620884528937	-0.02030987542453711
-0.04607071678321678	-0.9987719638774308	-0.9855360463727589	-0.0132359175046719
-0.04605821678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04604571678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04603321678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04602071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04600821678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04599571678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04598321678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04597071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04595821678321679	-0.9987719638774308	-0.9819990674128232	-0.01677289646460772
-0.04594571678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04593321678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04592071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04590821678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04589571678321679	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04588321678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04587071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04585821678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04584571678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04583321678321679	-1.002296939343002	-0.9784620884528905	-0.02383485089011179
-0.04582071678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04580821678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04579571678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04578321678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04577071678321679	-1.002296939343002	-0.9784620884528921	-0.02383485089011018
-0.04575821678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04574571678321678	-1.002296939343004	-0.9819990674128247	-0.02029787193017918
-0.04573321678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04572071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04570821678321679	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04569571678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04568321678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04567071678321678	-0.9987719638774308	-0.9819990674128247	-0.01677289646460611
-0.04565821678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04564571678321679	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04563321678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04562071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04560821678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04559571678321678	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.04558321678321679	-0.9987719638774293	-0.9784620884528905	-0.02030987542453872
-0.04557071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04555821678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04554571678321678	-0.9952469884118575	-0.9784620884528905	-0.01678489995896704
-0.04553321678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04552071678321679	-0.9952469884118591	-0.9784620884528905	-0.01678489995896864
-0.04550821678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04549571678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04548321678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
-0.04547071678321678	-0.9987719638774308	-0.9784620884528905	-0.02030987542454032
