#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 2024-12-24 16:54:12.441
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average

Time (s)	Channel 1 (V)	Channel 2 (V)
0.002387284482758618	1.045713806155056	1.416072667422545
0.002393534482758621	1.045713806155058	1.387776835743057
0.00239978448275862	1.049238781620629	1.355944025103664
0.002406034482758619	1.049238781620629	1.320574235504322
0.002412284482758618	1.049238781620629	1.285204445904981
0.002418534482758618	1.049238781620629	1.256908614225507
0.002424784482758621	1.052763757086201	1.221538824626151
0.00243103448275862	1.049238781620629	1.189706013986758
0.002437284482758619	1.052763757086203	1.154336224387416
0.002443534482758618	1.049238781620629	1.122503413748009
0.002449784482758618	1.049238781620629	1.087133624148667
0.002456034482758621	1.049238781620631	1.055300813509243
0.00246228448275862	1.052763757086203	1.019931023909918
0.002468534482758619	1.049238781620629	0.9916351922304443
0.002474784482758619	1.049238781620629	0.9562654026311026
0.002481034482758618	1.049238781620629	0.9279695709516291
0.002487284482758621	1.049238781620629	0.8925997813522714
0.00249353448275862	1.049238781620629	0.8572299917529456
0.002499784482758619	1.049238781620629	0.8289341600734723
0.002506034482758619	1.049238781620629	0.7935643704741306
0.002512284482758618	1.045713806155056	0.7652685387946572
0.002518534482758621	1.045713806155055	0.7369727071151693
0.00252478448275862	1.042188830689483	0.7051398964757762
0.002531034482758619	1.042188830689483	0.6768440647963028
0.002537284482758619	1.042188830689483	0.6485482331168293
0.002543534482758618	1.035138879758336	0.620252401437356
0.002549784482758621	1.035138879758336	0.5919565697578729
0.00255603448275862	1.035138879758336	0.5707346959982775
0.002562284482758619	1.031613904292763	0.5495128222386725
0.002568534482758619	1.031613904292763	0.5247539695191332
0.002574784482758618	1.02808892882719	0.5035320957595282
0.002581034482758621	1.031613904292761	0.4858472009598461
0.00258728448275862	1.02808892882719	0.4610883482403182
0.002593534482758619	1.02808892882719	0.4398664744807131
0.002599784482758619	1.024563953361617	0.4292555376009106
0.002606034482758618	1.021038977896043	0.4115706428012397
0.002612284482758617	1.017514002430472	0.3938857480015769
0.00261853448275862	1.01751400243047	0.3797378321618322
0.002624784482758619	1.01751400243047	0.3691268952820297
0.002631034482758619	1.013989026964897	0.3585159584022272
0.002637284482758618	1.013989026964897	0.3514420004823588
0.002643534482758617	1.010464051499325	0.3372940846426286
0.00264978448275862	1.00693907603375	0.3337571056826879
0.002656034482758619	1.003414100568177	0.3302201267227537
0.002662284482758619	1.003414100568177	0.3231461688028854
0.002668534482758618	1.003414100568177	0.3196091898429512
0.002674784482758617	0.9998891251026054	0.3196091898429512
0.00268103448275862	0.9963641496370306	0.3196091898429512
0.002687284482758619	0.9963641496370306	0.3160722108830171
0.002693534482758619	0.9928391741714573	0.3231461688028854
0.002699784482758618	0.989314198705884	0.3266831477628196
0.002706034482758617	0.989314198705884	0.3302201267227521
0.00271228448275862	0.989314198705884	0.3337571056826879
0.002718534482758619	0.9857892232403108	0.3479050215224246
0.002724784482758619	0.9822642477747375	0.354978979442293
0.002731034482758618	0.9787392723091642	0.3620529373621613
0.002737284482758617	0.9787392723091642	0.3762008532018916
0.00274353448275862	0.9752142968435911	0.3903487690416347
0.002749784482758619	0.9752142968435911	0.397422726961503
0.002756034482758619	0.9752142968435911	0.4186446007211081
0.002762284482758618	0.9716893213780178	0.4327925165608448
0.002768534482758617	0.9716893213780178	0.4504774113605076
0.00277478448275862	0.9681643459124445	0.4681623061601866
0.002781034482758619	0.9646393704468713	0.4893841799197916
0.002787284482758619	0.9646393704468713	0.5035320957595282
0.002793534482758618	0.961114394981298	0.5282909484790674
0.002799784482758617	0.9575894195157263	0.5495128222386628
0.00280603448275862	0.961114394981298	0.5671977170383433
0.00281228448275862	0.9575894195157247	0.5954935487178168
0.002818534482758619	0.9575894195157247	0.6167154224774218
0.002824784482758618	0.9575894195157247	0.6414742751969611
0.002831034482758617	0.9575894195157247	0.6662331279164891
0.00283728448275862	0.9540644440501516	0.6945289595959736
0.00284353448275862	0.9505394685845783	0.7228247912754471
0.002849784482758619	0.9540644440501516	0.7511206229549205
0.002856034482758618	0.9540644440501516	0.7758794756744596
0.002862284482758617	0.9505394685845798	0.8041753073539202
0.00286853448275862	0.9505394685845783	0.8324711390334065
0.00287478448275862	0.9505394685845783	0.8607669707128798
0.002881034482758619	0.9505394685845783	0.8819888444724848
0.002887284482758618	0.9505394685845783	0.9173586340718267
0.002893534482758617	0.9470144931190065	0.9421174867913545
0.00289978448275862	0.9505394685845783	0.9704133184708392
0.00290603448275862	0.9505394685845783	0.9987091501503127
0.002912284482758619	0.9505394685845783	1.027004981829786
0.002918534482758618	0.9505394685845783	1.055300813509259
0.002924784482758618	0.9505394685845783	1.08359664518872
0.00293103448275862	0.9505394685845783	1.11542945582814
0.00293728448275862	0.9505394685845783	1.14018830854768
0.002943534482758619	0.9505394685845783	1.164947161267219
0.002949784482758618	0.9540644440501516	1.189706013986758
0.002956034482758618	0.9575894195157247	1.221538824626166
0.00296228448275862	0.9575894195157247	1.242760698385771
0.00296853448275862	0.9575894195157247	1.26751955110531
0.002974784482758619	0.961114394981298	1.292278403824849
0.002981034482758618	0.961114394981298	1.317037256544388
0.002987284482758618	0.9646393704468713	1.338259130303993
