#Digilent WaveForms Impedance Analyzer
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 3000 Hz
#Steps: 2001
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X

Frequency (Hz)	Trace < (deg)	Trace th (deg)	Trace |Z| (Ohm)	Trace Rs (Ohm)	Trace Xs (Ohm)
1012.158050622408	-89.45216285461392	-89.47722612630693	25072.54935614781	228.7619088130345	-25071.50572274318
1012.714187989505	-89.33569787407781	-89.36077491696015	25050.24571702041	279.4693318454103	-25048.68673954101
1013.270630930193	-89.4081576091007	-89.43324843073906	25008.3600594339	247.3706840936665	-25007.13659351946
1013.827379612373	-89.44136068078525	-89.46646528875043	25010.75364361813	232.8952060381138	-25009.66928299456
1014.384434204036	-89.38102651419933	-89.40614491606634	24959.50476796893	258.6938084891235	-24958.16411068157
1014.941794873267	-89.44049602613589	-89.46562822948387	24934.4413966044	232.5488638550391	-24933.3569498096
1015.499461788241	-89.35302370229658	-89.37816971470887	24954.99164328733	270.8308548019909	-24953.52196714178
1016.057435117228	-89.36931198224957	-89.39447181131366	24938.76079658822	263.5594047206414	-24937.36807503207
1016.615715028589	-89.38713011041986	-89.41230376372739	24888.8383510953	255.2861704983045	-24887.5290745808
1017.174301690778	-89.3785802216463	-89.4037677067931	24859.2823816076	258.6864086704725	-24857.9363960582
1017.733195272342	-89.35547498587093	-89.38067631045699	24864.09500743821	268.7566749661746	-24862.64246592817
1018.292395941919	-89.42896125307337	-89.45417642470285	24798.72352063248	236.2394458532914	-24797.59825420586
1018.85190386824	-89.38658383573467	-89.41181286201596	24809.19536768032	254.6818183821678	-24807.88809961695
1019.411719220131	-89.38745638087381	-89.41269926941943	24806.70972399889	254.2725440445616	-24805.40652366105
1019.971842166509	-89.44029897715282	-89.46555573557947	24747.79901978789	230.839471195875	-24746.72239837737
1020.532272876383	-89.41593022941292	-89.4412008653415	24751.91429994035	241.3987407172551	-24750.73712356001
1021.093011518856	-89.41283823068048	-89.4381227517361	24760.1873132888	242.8095584920416	-24758.99673467107
1021.654058263125	-89.41673032481059	-89.44202873862251	24719.31902833275	240.7236925188364	-24718.14688297555
1022.215413278477	-89.40084888154023	-89.42616119574193	24664.08050734322	247.0159229033374	-24662.84351826731
1022.777076734295	-89.42101336087967	-89.44633958310882	24651.16850264007	238.2053955585369	-24650.01758082701
1023.339048800053	-89.41312054619762	-89.43846068409607	24661.88790134345	241.7001405237139	-24660.70347537761
1023.901329645318	-89.35955487328654	-89.38490893450034	24615.86756831977	264.2552298388024	-24614.44911661766
1024.463919439754	-89.42677140794686	-89.4521394001263	24610.98909219347	235.3259855391964	-24609.86399345993
1025.026818353112	-89.37531580129124	-89.40069773209076	24589.65733481597	257.1981534843848	-24588.31220221333
1025.590026555242	-89.43450220023864	-89.45989807731689	24567.15659662358	231.5802684931228	-24566.06508625812
1026.153544216084	-89.37952106083048	-89.40493089185038	24521.56751827442	254.6743426015761	-24520.24499332157
1026.717371505672	-89.34245976290165	-89.36788355553027	24511.96734169554	270.4231176523454	-24510.4756032556
1027.281508594134	-89.33214318033342	-89.35758094224208	24488.38233589005	274.5660154726536	-24486.84305768874
1027.845955651691	-89.39870092904152	-89.42415266790572	24463.86355567571	245.8682562165011	-24462.62800418841
1028.410712848658	-89.38521560141834	-89.41068132491779	24440.72719374724	251.3819190508274	-24439.43438154718
1028.975780355443	-89.36349513373744	-89.38897484955612	24443.83087862696	260.6738657185747	-24442.44090017705
